slot,parent_slot,cl_client,validator_id,validator,builder,relay,date,slot_in_epoch
[6794322](https://beaconcha.in/slot/6794322),0,Prysm,576265,,,,2023-07-03 03:44:47,18
[6794326](https://beaconcha.in/slot/6794326),0,Unknown,0,,,,2023-07-03 03:45:35,22
[6794343](https://beaconcha.in/slot/6794343),0,Unknown,0,,,,2023-07-03 03:48:59,7
[6794371](https://beaconcha.in/slot/6794371),0,Teku,209002,,,,2023-07-03 03:54:35,3
[6794401](https://beaconcha.in/slot/6794401),0,Prysm,193883,,,,2023-07-03 04:00:35,1
[6794430](https://beaconcha.in/slot/6794430),0,Unknown,0,,,,2023-07-03 04:06:23,30
[6794637](https://beaconcha.in/slot/6794637),0,Prysm,278305,,,,2023-07-03 04:47:47,13
[6794805](https://beaconcha.in/slot/6794805),0,Prysm,27706,,,,2023-07-03 05:21:23,21
[6794857](https://beaconcha.in/slot/6794857),0,Unknown,0,,,,2023-07-03 05:31:47,9
[6794887](https://beaconcha.in/slot/6794887),0,Unknown,0,,,,2023-07-03 05:37:47,7
[6794895](https://beaconcha.in/slot/6794895),0,Unknown,0,,,,2023-07-03 05:39:23,15
[6794910](https://beaconcha.in/slot/6794910),0,Unknown,0,,,,2023-07-03 05:42:23,30
[6794946](https://beaconcha.in/slot/6794946),0,Unknown,0,,,,2023-07-03 05:49:35,2
[6795043](https://beaconcha.in/slot/6795043),0,Lighthouse,450972,,,,2023-07-03 06:08:59,3
[6795120](https://beaconcha.in/slot/6795120),0,Unknown,0,,,,2023-07-03 06:24:23,16
[6795205](https://beaconcha.in/slot/6795205),0,Unknown,0,,,,2023-07-03 06:41:23,5
[6795269](https://beaconcha.in/slot/6795269),0,Lighthouse,425308,,,,2023-07-03 06:54:11,5
[6795286](https://beaconcha.in/slot/6795286),0,Unknown,0,,,,2023-07-03 06:57:35,22
[6795469](https://beaconcha.in/slot/6795469),0,Nimbus,488461,,,,2023-07-03 07:34:11,13
[6795516](https://beaconcha.in/slot/6795516),0,Unknown,0,,,,2023-07-03 07:43:35,28
[6795554](https://beaconcha.in/slot/6795554),0,Prysm,49339,,,,2023-07-03 07:51:11,2
[6795586](https://beaconcha.in/slot/6795586),0,Unknown,0,,,,2023-07-03 07:57:35,2
[6795629](https://beaconcha.in/slot/6795629),0,Unknown,0,,,,2023-07-03 08:06:11,13
[6795726](https://beaconcha.in/slot/6795726),0,Unknown,0,,,,2023-07-03 08:25:35,14
